Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points,LastPosition
1,Liverpool,15,11,3,1,31,13,+18,36,1
2,Chelsea,16,10,4,2,37,19,+18,34,2
3,Arsenal,16,8,6,2,29,15,+14,30,3
4,Nottingham Forest,16,8,4,4,21,19,+2,28,7
5,Manchester City,16,8,3,5,28,23,+5,27,4
6,Bournemouth,16,7,4,5,24,21,+3,25,9
7,Aston Villa,16,7,4,5,24,25,-1,25,8
8,Fulham,16,6,6,4,24,22,+2,24,6
9,Brighton and Hove Albion,16,6,6,4,26,25,+1,24,5
10,Tottenham Hotspur,16,7,2,7,36,19,+17,23,10
11,Brentford,16,7,2,7,32,30,+2,23,11
12,Newcastle United,16,6,5,5,23,21,+2,23,12
13,Manchester United,16,6,4,6,21,19,+2,22,13
14,West Ham United,16,5,4,7,21,29,-8,19,14
15,Crystal Palace,15,3,6,6,14,21,-7,15,17
16,Everton,16,3,5,8,21,34,-13,14,15
17,Leicester City,16,3,5,8,21,34,-13,14,16
18,Ipswich Town,16,2,6,8,16,28,-12,12,18
19,Wolverhampton Wanderers,16,2,3,11,24,40,-16,9,19
20,Southampton,16,1,2,13,11,36,-25,5,20
